"Project.ID","Survey.ID","Study.Area.ID","Study.Area","Study.Area.Visit.ID","Design.Component.ID","Design.Component.Label","Design.Component.Visit.ID","Year","Visit.Start.Date","Visit.Start.Time","Nights.Deployed","Design.Component.Visit.Note","Air.Temperature..C.","Field.Observer.Name","UTM.Zone","UTM.Easting","UTM.Northing","Longitude..DD.","Latitude..DD.","Geographic.Coordinate.Source","Taxonomic.Unit.ID","Species.Code","Animal.ID","Count","Survey.Observation.Note","Survey.Observation.ID","Inventory.Method","Spatial.Accuracy..m....SMT","Detection.Type.Code","Detection.Direction..deg.","Detection.Distance..m.","Temporary.Animal.ID","Life.Stage.Code","Sex.Code","Activity.Code","Feature.Type","Feature.Label","Feature.Count","Sign.Type.Code","Sign.or.Sample.Age.Code","Sign.Count","Group.Label","Adult.Males","Adult.Females","Adults...Unclassified.Sex","Juvenile.Males","Juvenile.Females","Juveniles...Unclassified.Sex","Males...Unclassified.Life.Stage","Females...Unclassified.Life.Stage","Unclassified.Life.Stage.and.Sex","Eggs","Egg.Masses","Larvae","Pupae","Hatchlings","Fledglings"
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548189,"2013","2013-11-19T00:00:00Z",1430,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",1,"",1299016,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548190,"2013","2013-11-21T00:00:00Z",930,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",4,"",1299029,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548190,"2013","2013-11-21T00:00:00Z",930,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1534,"B-MALL","",8,"",1299034,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253814,"Obs Pt East",548181,"2013","2013-11-23T00:00:00Z",1300,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1561,"B-HOME","",2,"",1299023,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548191,"2013","2013-11-23T00:00:00Z",1300,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",2,"",1299022,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548191,"2013","2013-11-23T00:00:00Z",1300,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1534,"B-MALL","",8,"",1299035,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253814,"Obs Pt East",548182,"2013","2013-11-25T00:00:00Z",1300,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1558,"B-BAGO","",1,"",1299018,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548192,"2013","2013-11-25T00:00:00Z",1300,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",1,"",1299017,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548192,"2013","2013-11-25T00:00:00Z",1300,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1548,"B-LESC","",10,"",1299036,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253814,"Obs Pt East",548183,"2013","2013-11-27T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1561,"B-HOME","",2,"",1299025,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548193,"2013","2013-11-27T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",2,"",1299024,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548193,"2013","2013-11-27T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1534,"B-MALL","",6,"",1299033,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548194,"2013","2013-11-28T00:00:00Z",900,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",1,"",1299019,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548194,"2013","2013-11-28T00:00:00Z",900,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1534,"B-MALL","",12,"",1299037,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548194,"2013","2013-11-28T00:00:00Z",900,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1548,"B-LESC","",4,"",1299030,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548195,"2013","2013-12-15T00:00:00Z",1230,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",27855,"NULL","",0,"lake iced up",1299013,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,32367,30494,"Yellow Point Bog Ecological Reserve",39097,253815,"Obs Pt West",548196,"2013","2013-12-28T00:00:00Z",1100,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",2,"",1299026,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612665,"2014","2014-01-03T00:00:00Z",1120,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",2,"",1468739,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612665,"2014","2014-01-03T00:00:00Z",1120,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",25623,"BUCEPHALA","",1,"",1468738,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612651,"2014","2014-01-03T00:00:00Z",1120,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",27855,"NULL","",0,"",1468740,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,35538,30494,"Yellow Point Bog Ecological Reserve",39650,253814,"Obs Pt East",578003,"2014","2014-01-05T00:00:00Z",1000,NA,NA,NA,"Barb Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1562,"B-COME","",1,"cold",1379730,"visual scan",NA,"VI",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,35538,30494,"Yellow Point Bog Ecological Reserve",39650,253814,"Obs Pt East",578003,"2014","2014-01-05T00:00:00Z",1000,NA,NA,NA,"Barb Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1559,"B-BUFF","",3,"cold",1379740,"visual scan",NA,"VI",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,35538,30494,"Yellow Point Bog Ecological Reserve",39650,253814,"Obs Pt East",578003,"2014","2014-01-05T00:00:00Z",1000,NA,NA,NA,"Barb Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1511,"B-GBHE","",1,"cold",1379799,"visual scan",NA,"VI",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612666,"2014","2014-01-05T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",2,"",1468741,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612652,"2014","2014-01-05T00:00:00Z",1415,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",27855,"NULL","",0,"",1468742,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612653,"2014","2014-01-16T00:00:00Z",1240,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1559,"B-BUFF","",2,"",1468744,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612667,"2014","2014-01-16T00:00:00Z",1230,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",2,"",1468743,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612668,"2014","2014-01-17T00:00:00Z",1100,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1559,"B-BUFF","",2,"",1468746,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612668,"2014","2014-01-17T00:00:00Z",1100,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",5,"",1468745,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612669,"2014","2014-01-19T00:00:00Z",1120,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1559,"B-BUFF","",2,"",1468747,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612654,"2014","2014-01-19T00:00:00Z",1130,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1534,"B-MALL","",12,"",1468748,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612670,"2014","2014-01-31T00:00:00Z",1200,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",823,"ANATIDAE","",1,"",1468749,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612655,"2014","2014-01-31T00:00:00Z",1215,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",27855,"NULL","",0,"",1468750,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612671,"2014","2014-02-04T00:00:00Z",1115,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1559,"B-BUFF","",2,"",1468753,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612671,"2014","2014-02-04T00:00:00Z",1115,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",1,"",1468752,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612671,"2014","2014-02-04T00:00:00Z",1115,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1545,"B-RNDU","",1,"",1468751,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612656,"2014","2014-02-04T00:00:00Z",1130,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",27855,"NULL","",0,"",1468754,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612672,"2014","2014-03-28T00:00:00Z",1830,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1534,"B-MALL","",4,"",1468755,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612657,"2014","2014-11-17T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1561,"B-HOME","",2,"",1468756,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612658,"2014","2014-11-21T00:00:00Z",1500,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",27855,"NULL","",0,"",1468757,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612659,"2014","2014-11-22T00:00:00Z",1330,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",27855,"NULL","",0,"",1468758,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612673,"2014","2014-11-28T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1559,"B-BUFF","",1,"",1468760,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612673,"2014","2014-11-28T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",1,"",1468759,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612674,"2014","2014-12-02T00:00:00Z",1500,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1522,"B-TRUS","",3,"",1468762,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612674,"2014","2014-12-02T00:00:00Z",1500,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1545,"B-RNDU","",1,"",1468761,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612660,"2014","2014-12-08T00:00:00Z",1400,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",27855,"NULL","",0,"",1468763,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253814,"Obs Pt East",612661,"2014","2014-12-14T00:00:00Z",1230,NA,NA,NA,"Rob Waters",10,442201,5433639,-123.79107,49.05291,"Sample Station - Centroid",1561,"B-HOME","",1,"",1468765,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5516,40558,30494,"Yellow Point Bog Ecological Reserve",40499,253815,"Obs Pt West",612675,"2014","2014-12-14T00:00:00Z",1200,NA,NA,NA,"Rob Waters",10,441985,5433786,-123.79404,49.05421,"Sample Station - Centroid",1561,"B-HOME","",1,"",1468764,"",NA,"",NA,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
