"Study.Area","Year","Month","Day","Visit.Start.Date","Visit.Start.Time","Air.Temperature..C.","Field.Observer.Name","UTM.Zone","UTM.Easting","UTM.Northing","Longitude..DD.","Latitude..DD.","Geographic.Coordinate.Source","Species.Code","Count","Survey.Observation.Note","Det.Type","Life.Stage.Code","Activity.Code","Feature.Type","Sign.Type.Code","Sign.Count","Adult.Males","Adult.Females","Adults...Unclassified.Sex","Eggs","Egg.Masses","Larvae"
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Big Bar Lake Park",2015,6,11,"2015-06-11",1430,NA,"Tom Hughes",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-PSRE",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",10,"","VI","","","","",NA,NA,NA,10,NA,NA,NA
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",5,"","VI","","","","",NA,NA,NA,5,NA,NA,NA
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",3,"three areas with lots of eggs","VI","","","","",NA,NA,NA,NA,3,NA,NA
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Big Bar Lake Park",2015,6,11,"2015-06-11",1430,NA,"Tom Hughes",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-ANBO",1,"Observed 1 - Not positive on this identification","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-RAAU",19,"","VI","","","","",NA,NA,NA,NA,19,NA,NA
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-AMGR",2,"note that the end point of transect is different from previous years; this will become permanent end in future. End indicated by snag with flagging tape.","VI","","","","",NA,NA,NA,NA,2,NA,NA
"Alice Lake Park",2015,4,10,"2015-04-10",1340,9,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","AMPHIBIA",4,"","VI","","","","",NA,NA,NA,NA,NA,NA,4
"Big Bar Lake Park",2018,6,19,"2018-06-19",1153,NA,"Lori Homstol",10,582342,5685947,-121.81839,51.31886,"Transect - Start","AMPHIBIA",1,"Count not given.  Lori walked the W side, Cary walked the E side.","VI","","","","",NA,NA,NA,NA,NA,NA,1
"Big Bar Lake Park",2015,6,11,"2015-06-11",1430,NA,"Tom Hughes",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-RALU",1,"Observed 1 near bridge at North end of loop trail.","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Big Bar Lake Park",2018,6,19,"2018-06-19",1153,NA,"Lori Homstol",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-RALU",2,"","VI","","","","",NA,NA,NA,2,NA,NA,NA
"Big Bar Lake Park",2018,6,19,"2018-06-19",1250,NA,"Lori Homstol",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-RALU",12,"","VI","","","","",NA,NA,NA,NA,NA,NA,12
"Big Bar Lake Park",2018,6,19,"2018-06-19",1336,NA,"Lori Homstol",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Big Bar Lake Park",2018,6,19,"2018-06-19",1418,NA,"Lori Homstol",10,582342,5685947,-121.81839,51.31886,"Transect - Start","A-RALU",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Hai Lake-Mount Herman Park",2019,6,18,"2019-06-18",950,11,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Condition: Overcast/ Calm/Rain/ 11 deg. No amphibians observed","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2019,6,18,"2019-06-18",957,11,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Condition: Overcast/ Calm/Rain/ 11 deg. No amphibians observed","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2019,6,18,"2019-06-18",950,11,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Condition: Overcast/ Calm/Rain/ 11 deg. No amphibians observed","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2019,6,18,"2019-06-18",957,11,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Condition: Overcast/ Calm/Rain/ 11 deg. No amphibians observed","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2020,6,3,"2020-06-03",954,8,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Conditions: Cloud cover >50%/Overcast/Moderate Breeze/0% snow/light rain; 8 deg. C. No amphibians observed.","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2020,6,3,"2020-06-03",1046,8,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Conditions: Cloud cover >50%/Overcast/Moderate Breeze/0% snow/no precipitation at the time; 8 deg. C. No amphibians observed.","CA","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2020,6,3,"2020-06-03",954,8,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Conditions: Cloud cover >50%/Overcast/Moderate Breeze/0% snow/light rain; 8 deg. C. No amphibians observed.","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Hai Lake-Mount Herman Park",2020,6,3,"2020-06-03",1046,8,"Diana Christianson",9,526292,6029350,-128.59489,54.41121,"Transect - Start","NULL",0,"Weather Conditions: Cloud cover >50%/Overcast/Moderate Breeze/0% snow/no precipitation at the time; 8 deg. C. No amphibians observed.","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2019,4,9,"2019-04-09",1432,12,"Erica Mcclaren",10,441979,5433783,-123.79412,49.05418,"Survey Observation","A-PSRE",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2019,4,9,"2019-04-09",1447,12,"Erica Mcclaren",10,442207,5433619,-123.79098,49.05273,"Survey Observation","A-PSRE",0,"No egg masses and adults were observed.","VI","","","","",NA,NA,NA,NA,0,NA,NA
"Yellow Point Bog Ecological Reserve",2014,4,2,"2014-04-02",1100,NA,"Erica Mcclaren",10,442212,5433635,-123.79091,49.05288,"Transect - Start","A-PSRE",1,"potential egg mass- monitor because very early development","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2014,4,2,"2014-04-02",1030,NA,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-PSRE",1,"egg mass - early development","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2014,4,2,"2014-04-02",1030,NA,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-PSRE",1,"egg mass - early development","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2020,4,24,"2020-04-24",1145,13,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-PSRE",1,"1 egg mass - already hatched out","VI","","","","",NA,NA,NA,NA,NA,1,NA
"Yellow Point Bog Ecological Reserve",2018,4,17,"2018-04-17",1255,10,"Erica Mcclaren",10,442212,5433635,-123.79091,49.05288,"Transect - Start","A-PSRE",3,"","VI","","","","",NA,NA,NA,NA,3,NA,NA
"Yellow Point Bog Ecological Reserve",2018,4,17,"2018-04-17",1153,12,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-PSRE",8,"","VI","","","","",NA,NA,NA,NA,8,NA,NA
"Naikoon Park",2015,5,14,"2015-05-14",0,18,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-PSRE",12,"12 egg masses, tadpoles nearby many hatched out egg masses","VI","","","","",NA,NA,NA,NA,12,NA,NA
"Naikoon Park",2017,3,28,"2017-03-28",0,NA,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-PSRE",1,"Count not given","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Naikoon Park",2019,4,29,"2019-04-29",0,NA,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-PSRE",100,"egg >100; hatchling stage; some free swimmers; water level at 16 cm on guage; water clearer than previous survey; muskrat observed swimming and possible nest location (mound of twigs and rushes amongst the stand of rushes). Weather clear & warm, light breeze, no precipitation in last 24 hours. No observation of Sandhill cranes, but their calls have been heard throughout the month.","VI","","","","",NA,NA,NA,NA,100,NA,NA
"Mahoney Lake Ecological Reserve",2016,4,20,"2016-04-20",2030,17,"Sara Bunge",11,312094,5462375,-119.58395,49.28521,"Transect - Start","A-PSRE",1,"Count not given; lots of tree frogs calling from across the road, but none calling from Mahoney.","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Mahoney Lake Ecological Reserve",2019,4,9,"2019-04-09",2035,12,"Sara Bunge",11,312094,5462375,-119.58395,49.28521,"Transect - Start","A-PSRE",2,"Station #1; few calling in SW bay, no overlap, water up to new fence posts, approx 5 metres from station.  Count not given.","CA","","","","",NA,NA,NA,2,NA,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",6,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,6,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",10,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,10,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",25,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,25,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",20,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,20,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",20,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,20,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",10,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,10,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",35,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,35,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",12,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,12,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",30,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,30,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",30,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,30,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",10,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,10,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",10,"Eggs were attached to vegetation","VI","","","","",NA,NA,NA,NA,10,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",1,"Different levels of calling were heard at different points in the auditory survey; Count not known.","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",1,"Different levels of calling were heard at different points in the auditory survey; Count not known.","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-PSRE",1,"Different levels of calling were heard at different points in the auditory survey; Count not known.","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Misty Lake Ecological Reserve",2019,3,20,"2019-03-20",1550,18,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-PSRE",75,"","VI","","","","",NA,NA,NA,NA,75,NA,NA
"Yellow Point Bog Ecological Reserve",2016,4,6,"2016-04-06",1318,13,"Rob Waters",10,442006,5433763,-123.79375,49.05401,"Survey Observation","A-PSRE",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2016,4,6,"2016-04-06",1243,13,"Rob Waters",10,442207,5433649,-123.79099,49.053,"Survey Observation","A-PSRE",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2016,4,6,"2016-04-06",1243,13,"Rob Waters",10,442207,5433649,-123.79099,49.053,"Survey Observation","A-PSRE",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2013,5,16,"2013-05-16",2130,17,"Rob Waters",10,441883,5433683,-123.79542,49.05328,"Transect - Start","A-PSRE",1,"not as loud as in the earlier spring. Count not given.","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",45,"45 Egg masses.","VI","","","","",NA,NA,NA,NA,NA,45,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",35,"Egg masses","VI","","","","",NA,NA,NA,NA,NA,35,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",51,"Egg masses","VI","","","","",NA,NA,NA,NA,NA,51,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",1,"Tadpole","VI","","","","",NA,NA,NA,NA,NA,NA,1
"Alice Lake Park",2018,5,2,"2018-05-02",0,17,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",215,"","VI","","","","",NA,NA,NA,NA,215,NA,NA
"Alice Lake Park",2018,5,2,"2018-05-02",0,17,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Alice Lake Park",2018,5,2,"2018-05-02",0,17,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-PSRE",1,"","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Lac du Bois Protected Area",2020,6,21,"2020-06-21",1300,NA,"Sienna Hoffos",10,676742,5633953,-120.4902,50.83027,"Transect - Start","A-PSRE",1,"","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Call Lake Park",2017,4,5,"2017-04-05",950,2,"Darren Fillier",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",25,"1 egg mass attached to submerged vegetation, along lakeshore area; many aquatic invertebrates active; very wet along trail, ice melting along lakeshore, little early this season even with snow melt being ahead by two weeks or little snow this winter and ground still frozen, slow thaw.","VI","","","","",NA,NA,NA,NA,NA,1,NA
"Call Lake Park",2017,4,5,"2017-04-05",950,2,"Darren Fillier",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",1,"No additional sightings on return trip to vehicle","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Call Lake Park",2019,4,12,"2019-04-12",0,8,"Darren Fillier",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",1000,"Large numbers of egg strings.  Eggs in the thousands.","VI","","","","",NA,NA,NA,NA,1000,NA,NA
"Call Lake Park",2020,4,24,"2020-04-24",0,5,"Darren Fillier",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",100,"Eggs in hundreds.","VI","","","","",NA,NA,NA,NA,100,NA,NA
"Call Lake Park",2020,4,24,"2020-04-24",0,5,"Darren Fillier",9,623014,6069830,-127.08821,54.76062,"Transect - Start","A-ANBO",1,"Dead small western toad at the end of transect.  Not sure of cause of death.","VI","","","","CR",1,NA,NA,1,NA,NA,NA
"Burges James Gadsden Park",2017,5,17,"2017-05-17",0,NA,"Liza Pegura",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-ANBO",1,"Resting in vegetation","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Misty Lake Ecological Reserve",2016,5,9,"2016-05-09",945,NA,"Jessie Moore",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-ANBO",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",1,"Adult (Juv).  Count not given.","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",5,"Tadpole","VI","","","","",NA,NA,NA,NA,NA,NA,5
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",100,">100 tadpoles","VI","","","","",NA,NA,NA,NA,NA,NA,100
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",200,"several hundred tadpoles","VI","","","","",NA,NA,NA,NA,NA,NA,200
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",100,">100 tadpoles","VI","","","","",NA,NA,NA,NA,NA,NA,100
"Alice Lake Park",2018,5,2,"2018-05-02",0,17,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-ANBO",10000,"Count = 10000+.  Tiny and some still entangled in egg string jelly","VI","","","","",NA,NA,NA,NA,NA,NA,10000
"Burges James Gadsden Park",2015,5,28,"2015-05-28",0,15,"Brett Yeates",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-ANBO",1,"***1 Columbia Spotted Frog and 1 Pacific Chorus Frog was observed in adjacent compartment on this day***","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Burges James Gadsden Park",2015,5,28,"2015-05-28",0,15,"Brett Yeates",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-ANBO",1,"10 square M mass, currently hatching; WT egg masses, in transect","VI","DC","","","",NA,NA,NA,NA,NA,1,NA
"Burges James Gadsden Park",2015,5,28,"2015-05-28",0,15,"Brett Yeates",11,495185,5695910,-117.06924,51.41439,"Transect - Start","A-ANBO",1500,"Observed within and around egg mass","VI","","","","",NA,NA,NA,NA,NA,NA,1500
"Misty Lake Ecological Reserve",2014,4,9,"2014-04-09",1045,NA,"Erica Mcclaren",9,623277,5607647,-127.25776,50.60767,"Transect - Start","A-RAAU",20,"Development stages vary from early to floating/hatching.  Doesn't look like an auditory survey was conducted.","VI","","","","",NA,NA,NA,NA,20,NA,NA
"Naikoon Park",2015,5,14,"2015-05-14",0,18,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-RAAU",3,"Tadpoles","VI","","","","",NA,NA,NA,NA,NA,NA,3
"Naikoon Park",2015,5,14,"2015-05-14",0,18,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-RAAU",2,"Adults","VI","","","","",NA,NA,NA,2,NA,NA,NA
"Naikoon Park",2017,3,28,"2017-03-28",0,NA,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-RAAU",1,"Count not given","CA","","","","",NA,NA,NA,1,NA,NA,NA
"Naikoon Park",2019,4,29,"2019-04-29",0,NA,"Lucy Stefanyk",9,305562,5940277,-131.93684,53.57525,"Transect - Start","A-RAAU",0,"","VI","","","","",NA,NA,NA,NA,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2016,4,6,"2016-04-06",1243,13,"Rob Waters",10,442207,5433649,-123.79099,49.053,"Survey Observation","A-RAAU",1,"egg masses hatched out - 1-2 weeks","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-RAAU",33,"Egg masses","VI","","","","",NA,NA,NA,NA,NA,33,NA
"Alice Lake Park",2016,4,19,"2016-04-19",0,24,"Joanna Hirner",10,492148,5514706,-123.10908,49.78476,"Transect - Start","A-RAAU",1,"Tadpole. Count not given.","VI","","","","",NA,NA,NA,NA,NA,NA,1
"Yellow Point Bog Ecological Reserve",2015,3,23,"2015-03-23",1100,7,"Erica Mcclaren",10,441985,5433758,-123.79404,49.05396,"Survey Observation","A-LICA",3,"","VI","","","","",NA,NA,NA,NA,NA,NA,3
"Yellow Point Bog Ecological Reserve",2015,3,23,"2015-03-23",1200,7,"Erica Mcclaren",10,442186,5433627,-123.79127,49.0528,"Survey Observation","A-LICA",1,"dead carcass on log - fed on by something?","VI","","","","CR",NA,NA,NA,1,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2014,4,2,"2014-04-02",1100,NA,"Erica Mcclaren",10,442212,5433635,-123.79091,49.05288,"Transect - Start","A-LICA",1,"several tadpoles of varying sizes","VI","","","","",NA,NA,NA,NA,NA,NA,1
"Yellow Point Bog Ecological Reserve",2014,4,2,"2014-04-02",1030,NA,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-LICA",1,"dead with slug feeding on carcass","VI","","","","",NA,NA,NA,1,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2018,4,17,"2018-04-17",1153,12,"Erica Mcclaren",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-LICA",1,"dead and decaying adult","VI","","","","CR",NA,NA,NA,1,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2013,5,16,"2013-05-16",1330,17,"Rob Waters",10,442212,5433635,-123.79091,49.05288,"Transect - Start","A-LICA",2,"Several BF Adults appeared to be calling in the shallow area on the east side of the bog, juv. Abundant. Count not given.","CA","","","","",NA,NA,NA,1,NA,NA,1
"Yellow Point Bog Ecological Reserve",2013,5,16,"2013-05-16",1400,17,"Rob Waters",10,441986,5433798,-123.79403,49.05432,"Transect - Start","A-LICA",4,"very abundant (~4/m2 in shallows). Count not given.","VI","","","","",NA,NA,NA,4,NA,NA,NA
"Yellow Point Bog Ecological Reserve",2015,3,23,"2015-03-23",1200,7,"Erica Mcclaren",10,442186,5433627,-123.79127,49.0528,"Survey Observation","A-AMGR",1,"1 early development egg mass","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2015,3,23,"2015-03-23",1200,7,"Erica Mcclaren",10,442186,5433627,-123.79127,49.0528,"Survey Observation","A-AMGR",1,"1 empty gelatinous ball with no eggs in it","VI","","","","",NA,NA,NA,NA,1,NA,NA
"Yellow Point Bog Ecological Reserve",2017,4,18,"2017-04-18",1300,11,"Erica Mcclaren",10,442212,5433624,-123.79091,49.05278,"Survey Observation","A-AMGR",1,"","VI","","","","",NA,NA,NA,NA,1,NA,NA
